PT코드,차단단위수,단독차단수,예시_굿즈명,WMS_sync_parts,Sincerely_규격_참고,분류,규격_입력(가로x세로x높이mm)
PT2776,1,0,리틀빅리유저블컵(블루.그린.옐로우.카키),부재(레코드추가),80x135 mm / 350ml,3D_복사가능,
PT2041,1,0,Quality슬리브박스,부재(레코드추가),,실측필요,
PT3050,1,0,유니크디퓨저,부재(레코드추가),,실측필요,
PT0698,1,0,그립잇,부재(레코드추가),39x39,2D_P1파서필요,
PT2600,1,0,프리미엄 린넨샤쉐,존재(규격공백),,실측필요,
PT3628,1,0,프리미엄 린넨샤쉐,존재(규격공백),,실측필요,
PT1798,1,0,프리미엄 린넨샤쉐,부재(레코드추가),,실측필요,
PT4602,1,0,프리미엄 린넨샤쉐,부재(레코드추가),75x120,2D_P1파서필요,
PT2772,1,0,리틀빅리유저블컵(반투명.아이보리)[2],부재(레코드추가),80x135 mm / 350ml,3D_복사가능,
PT4856,1,0,어텐션스포츠보틀[2],존재(규격공백),,실측필요,
PT4865,1,0,어텐션스포츠보틀[2],존재(규격공백),,실측필요,
PT4870,1,0,어텐션스포츠보틀[2],존재(규격공백),,실측필요,
PT2510,1,0,펠트백,존재(규격공백),,실측필요,
PT2612,1,0,펠트백,부재(레코드추가),,실측필요,
PT3637,1,0,펠트백,존재(규격공백),,실측필요,
PT4562,1,0,브랜드팝클리어키링,부재(레코드추가),,실측필요,
PT5234,1,0,미니어처NFC키링,부재(레코드추가),105x165mm,2D_P1파서필요,
PT5307,1,0,미니어처NFC키링,존재(규격공백),,실측필요,
PT5198,1,0,브릭메모&캘린더스탠드2.0,부재(레코드추가),"세트만 조립 완료기준
144×32×45mm (메모패드, 피규어 사이즈 제외)",3D_복사가능,
PT4114,1,0,라이트캘린더,존재(규격공백),,실측필요,
PT3982,1,0,라이트캘린더,부재(레코드추가),90x140,2D_P1파서필요,
PT4178,1,0,라이트캘린더,존재(규격공백),,실측필요,
PT4177,1,0,라이트캘린더,부재(레코드추가),,실측필요,
PT4494,1,0,헬로 카드형 USB,부재(레코드추가),85x51x2,3D_복사가능,
PT0790,1,0,라미사파리펜(만년필),존재(규격공백),,실측필요,
PT2504,1,0,라미사파리펜(만년필),존재(규격공백),,실측필요,
PT1804,1,0,플레인USB,부재(레코드추가),,실측필요,
PT2920,1,0,Tailored스트랩박스:지지박스,부재(레코드추가),380x260x??,2D_P1파서필요,
PT2986,1,0,Tailored스트랩박스:지지박스,존재(규격공백),,실측필요,
PT2930,1,0,Tailored스트랩박스:지지박스,부재(레코드추가),380x260x??,2D_P1파서필요,
PT2963,1,0,Tailored스트랩박스:지지박스,부재(레코드추가),,실측필요,
PT3039,1,0,Tailored스트랩박스:지지박스,부재(레코드추가),커스텀사이즈,기타참고,
PT4833,1,0,Solid커스텀G형박스(L사이즈),부재(레코드추가),커스텀사이즈,기타참고,
PT3404,1,0,웜업 스트링 후드집업,존재(규격공백),,실측필요,
PT1419,1,0,웜업 스트링 후드집업,부재(레코드추가),,실측필요,
PT5191,1,0,웜업 스트링 후드집업,부재(레코드추가),,실측필요,
PT3639,1,0,웜업 스트링 후드집업,존재(규격공백),,실측필요,
PT3408,1,0,웜업 스트링 후드집업,부재(레코드추가),,실측필요,
PT3413,1,0,웜업 스트링 후드집업,부재(레코드추가),,실측필요,
PT3989,1,0,굿데이볼캡,부재(레코드추가),,실측필요,
PT3991,1,0,굿데이볼캡,부재(레코드추가),,실측필요,
PT3997,1,0,굿데이볼캡,존재(규격공백),,실측필요,
PT3995,1,0,굿데이볼캡,부재(레코드추가),,실측필요,
PT3900,1,0,리멤버탁상시계,존재(규격공백),,실측필요,
PT3060,1,0,유니크 디퓨저,부재(레코드추가),153x45,2D_P1파서필요,
PT3052,1,0,유니크 디퓨저,부재(레코드추가),,실측필요,
PT4237,1,0,베이직도킹형보조배터리,부재(레코드추가),,실측필요,
PT1241,1,0,시그니처 다이어리,부재(레코드추가),,실측필요,
PT1903,1,0,디자이너 노트,부재(레코드추가),,실측필요,
PT5100,1,0,오아시스 미니 마사지건,부재(레코드추가),,실측필요,
PT4482,1,0,스탠리 슬림 보틀,부재(레코드추가),80x77x243,3D_복사가능,
PT5269,1,0,미르(MiiR)텀블러(16oz),부재(레코드추가),,실측필요,
PT5097,1,0,오아시스 미니 마사지건,부재(레코드추가),,실측필요,
PT2287,1,0,포터블 피크닉 롤테이블,부재(레코드추가),,실측필요,
PT3676,1,0,포터블 피크닉 롤테이블,존재(규격공백),,실측필요,
PT2288,1,0,포터블 피크닉 롤테이블,부재(레코드추가),,실측필요,
PT2292,1,0,포터블 피크닉 롤테이블,부재(레코드추가),150x440x65,3D_복사가능,
PT2242,1,0,포터블 피크닉 롤테이블,존재(규격공백),,실측필요,
PT5175,1,0,아너월넛트로피,부재(레코드추가),,실측필요,
PT4386,1,0,글로시 키링,부재(레코드추가),,실측필요,
PT3634,1,0,글로시 키링,존재(규격공백),,실측필요,
PT0711,1,0,글로시 키링,존재(규격공백),,실측필요,
PT0710,1,0,글로시 키링,존재(규격공백),,실측필요,
PT0709,1,0,글로시 키링,존재(규격공백),,실측필요,
PT4388,1,0,글로시 키링,부재(레코드추가),36x75x3,3D_복사가능,
PT4385,1,0,글로시 키링,부재(레코드추가),36x50x3,3D_복사가능,
PT2937,1,0,하이킹폴딩방석,부재(레코드추가),385x290,2D_P1파서필요,
PT5064,1,0,아임히어 리플렉터 키링,부재(레코드추가),"키링 : 70x70mm
와이어링 : 50x50mm",3D_복사가능,
PT3069,1,0,클래시 차량용 방향제,부재(레코드추가),,실측필요,
PT5054,1,0,브랜디드 피규어 키링,부재(레코드추가),,실측필요,
PT5057,1,0,브랜디드 피규어 키링,부재(레코드추가),,실측필요,
PT5056,1,0,브랜디드 피규어 키링,부재(레코드추가),,실측필요,
PT5053,1,0,브랜디드 피규어 키링,부재(레코드추가),,실측필요,
PT2946,1,0,하이킹 폴딩방석,부재(레코드추가),,실측필요,
PT5196,1,0,브릭 메모&캘린더 스탠드 2.0,부재(레코드추가),"세트만 조립 완료기준
144×32×45mm (메모패드, 피규어 사이즈 제외)",3D_복사가능,
PT0581,1,0,Simple 슬라이드 지퍼백,부재(레코드추가),,실측필요,
PT1418,1,0,프리미엄 스트링 후드집업,부재(레코드추가),100*100 이하,2D_P1파서필요,
PT1426,1,0,프리미엄 스트링 후드집업,부재(레코드추가),300*210 이하,2D_P1파서필요,
PT1415,1,0,프리미엄 스트링 후드집업,부재(레코드추가),,실측필요,
PT1704,1,0,페이머스 캡슐보틀,부재(레코드추가),,실측필요,
PT2589,1,0,페이머스 캡슐보틀,존재(규격공백),,실측필요,
PT3731,1,0,페이머스 캡슐보틀,존재(규격공백),,실측필요,
PT1661,1,0,클립아트펜,부재(레코드추가),,실측필요,
PT5111,1,0,킵세이프 마그넷 배터리 Max,부재(레코드추가),,실측필요,
PT0869,1,0,마그넷 오프너,부재(레코드추가),58X58,2D_P1파서필요,
PT2546,1,0,스트레치 사원증 홀더,존재(규격공백),,실측필요,
PT1163,1,0,스트레치 사원증 홀더,부재(레코드추가),59x9x102,3D_복사가능,
PT1165,1,0,스트레치 사원증 홀더,부재(레코드추가),,실측필요,
PT5049,1,0,시그니처 다이어리,부재(레코드추가),,실측필요,
PT1721,1,0,포시즌 블랭킷,부재(레코드추가),,실측필요,
PT1726,1,0,포시즌 블랭킷,부재(레코드추가),1500x1000,2D_P1파서필요,
PT1633,1,0,클래시차량용방향제,부재(레코드추가),78x30,2D_P1파서필요,
PT1623,1,0,클래시차량용방향제,부재(레코드추가),24x24x61,3D_복사가능,
PT4647,1,0,클래시차량용방향제,존재(규격공백),,실측필요,
PT5168,1,0,모뉴먼트 블랙 트로피,부재(레코드추가),,실측필요,
PT5181,1,0,모뉴먼트 블랙 트로피,존재(규격공백),,실측필요,
PT5163,1,0,모뉴먼트 블랙 트로피,부재(레코드추가),,실측필요,
PT3558,1,0,센텐스 펜,존재(규격공백),,실측필요,
PT4675,1,0,밸류 무선충전 마우스패드,부재(레코드추가),,실측필요,
PT4674,1,0,밸류 무선충전 마우스패드,부재(레코드추가),,실측필요,
PT1650,1,0,클립 아트펜,부재(레코드추가),,실측필요,
PT5195,1,0,브릭 메모&캘린더 스탠드 2.0,부재(레코드추가),"세트만 조립 완료기준
144×32×45mm (메모패드, 피규어 사이즈 제외)",3D_복사가능,
PT4535,1,0,헬로 카드형 USB,부재(레코드추가),85x51x2,3D_복사가능,
PT0693,1,0,그래픽 에코백,부재(레코드추가),340x380(어깨끈32cm),3D_복사가능,
PT0682,1,0,그래픽 에코백,부재(레코드추가),,실측필요,
PT1358,1,0,애드온 뱃지,부재(레코드추가),40x40이내,2D_P1파서필요,
PT3284,1,0,액티브 스포츠 타월,부재(레코드추가),,실측필요,
PT4513,1,0,디스플레이 피규어 세트,부재(레코드추가),,실측필요,
PT4521,1,0,디스플레이 피규어 세트,부재(레코드추가),,실측필요,
PT4514,1,0,디스플레이 피규어 세트,부재(레코드추가),,실측필요,
PT4506,1,0,팝업스토어 피규어 세트,부재(레코드추가),,실측필요,
PT0456,1,0,Carry me 와인잔,부재(레코드추가),,실측필요,
PT3202,1,0,Carry me 와인잔,존재(규격공백),,실측필요,
PT0687,1,0,그래픽 에코백,부재(레코드추가),340x380(어깨끈32cm),3D_복사가능,
PT0691,1,0,그래픽 에코백,부재(레코드추가),,실측필요,
PT1960,1,0,매트블랙 텀블러,부재(레코드추가),,실측필요,
PT0882,1,0,매트블랙 텀블러,부재(레코드추가),95x95x183,3D_복사가능,
PT2404,1,0,매트블랙 텀블러,존재(규격공백),,실측필요,
PT5262,1,0,컴포트 스텐머그,부재(레코드추가),,실측필요,
PT1847,1,0,홈카페 코스터,부재(레코드추가),87x87,2D_P1파서필요,
PT1846,1,0,홈카페 코스터,부재(레코드추가),85x85,2D_P1파서필요,
PT2466,1,0,드레스업 손거울,부재(레코드추가),,실측필요,
PT0814,1,0,라미 사파리 펜,존재(규격공백),,실측필요,
PT5376,1,0,스탠바이 빅팬선풍기,부재(레코드추가),,실측필요,
PT2622,1,0,매트블랙 텀블러,부재(레코드추가),,실측필요,
PT5066,1,0,아임히어 리플렉터 키링,부재(레코드추가),"키링 : 70x70mm
와이어링 : 50x50mm",3D_복사가능,
PT5247,1,0,데일리 칫솔살균기 | 아이리버,부재(레코드추가),,실측필요,
PT4505,1,0,팝업스토어 피규어 세트,부재(레코드추가),,실측필요,
PT4660,1,0,베이직 무선충전 마우스패드,부재(레코드추가),,실측필요,
PT4088,1,0,올데이 텀블러,존재(규격공백),,실측필요,
PT4084,1,0,올데이 텀블러,존재(규격공백),,실측필요,
PT5400,1,0,올데이 텀블러,부재(레코드추가),,실측필요,
PT5402,1,0,올데이 텀블러,부재(레코드추가),,실측필요,
PT1713,1,0,페이퍼 샤쉐,부재(레코드추가),80x80 펼침 110*195,3D_복사가능,
PT4350,1,0,에센셜 장우산,부재(레코드추가),,실측필요,
PT0916,1,0,뮤지엄 머그,부재(레코드추가),,실측필요,
PT0914,1,0,뮤지엄 머그,부재(레코드추가),,실측필요,
PT5386,1,0,슬림 터보선풍기 [1],부재(레코드추가),,실측필요,
PT4828,1,0,칠링패드 냉각선풍기,부재(레코드추가),,실측필요,
PT1857,1,0,페이퍼 샤쉐,부재(레코드추가),,실측필요,
PT1014,1,0,브랜드 스트랩 단우산,부재(레코드추가),,실측필요,
PT2526,1,0,브랜드 스트랩 단우산,존재(규격공백),,실측필요,
PT1016,1,0,브랜드 스트랩 단우산,부재(레코드추가),,실측필요,
PT1022,1,0,브랜드 스트랩 단우산,부재(레코드추가),240x60,2D_P1파서필요,
PT4536,1,0,헬로 카드형 USB,부재(레코드추가),85x51x2,3D_복사가능,
PT1216,1,0,스펙트럼 컬러펜,부재(레코드추가),,실측필요,
PT5356,1,0,하우스 핸드타월,존재(규격공백),,실측필요,
PT2647,1,0,톤앤톤 쿨러백,부재(레코드추가),,실측필요,
PT2158,1,0,스타트 씨드키트,부재(레코드추가),19x7,2D_P1파서필요,
PT3647,1,0,바이브 캠핑쿨러,존재(규격공백),,실측필요,
PT3206,1,0,바이브 캠핑쿨러,부재(레코드추가),,실측필요,
PT3211,1,0,바이브 캠핑쿨러,존재(규격공백),,실측필요,
PT4908,1,0,심볼 아크릴 트로피,부재(레코드추가),,실측필요,
PT5392,1,0,슬림 터보선풍기,부재(레코드추가),,실측필요,
PT5390,1,0,슬림 터보선풍기,부재(레코드추가),,실측필요,
PT3852,1,0,인마이백 피크닉매트,존재(규격공백),,실측필요,
PT3812,1,0,인마이백 피크닉매트,존재(규격공백),,실측필요,
PT3847,1,0,인마이백 피크닉매트,부재(레코드추가),,실측필요,
PT5375,1,0,스탠바이 빅팬선풍기,부재(레코드추가),,실측필요,
PT5410,1,0,에브리 폴더블 멀티충전기,부재(레코드추가),,실측필요,
PT5416,1,0,에브리 폴더블 멀티충전기,존재(규격공백),,실측필요,
PT5411,1,0,에브리 폴더블 멀티충전기,존재(규격공백),,실측필요,
PT5408,1,0,에브리 폴더블 멀티충전기,존재(규격공백),,실측필요,
PT5437,1,0,킵세이프 마그넷 배터리 Lite,존재(규격공백),,실측필요,
PT5436,1,0,킵세이프 마그넷 배터리 Lite,존재(규격공백),,실측필요,
PT5432,1,0,킵세이프 마그넷 배터리 Lite,부재(레코드추가),,실측필요,
PT1646,1,0,에디션 골프공 6구,부재(레코드추가),,실측필요,
