PT코드,차단단위수,단독차단수,예시_굿즈명,예시_PNA,규격_입력(가로x세로x높이mm)
PT3149,14,3,미니멀스텐머그,PNA38162,
PT3850,14,1,테크미니파우치,PNA50519,
PT2554,13,0,애드온뱃지,PNA37519,
PT4030,13,1,데일리짐색(키트),PNA37986,
PT4417,13,1,스탠리데일리텀블러,PNA38064,
PT1285,13,2,Motion스탠다드박스(Small),PNA38073,
PT0881,13,3,매트블랙텀블러,PNA38235,
PT0875,13,3,매트블랙텀블러,PNA38235,
PT4466,13,2,스탠리데일리텀블러,PNA38236,
PT3729,13,1,미르(MiiR)텀블러,PNA38269,
PT4374,13,0,풀커버스티치노트(300개이하),PNA38280,
PT4363,13,1,풀커버스티치노트(300개이하),PNA38280,
PT4642,13,3,카드트레이피규어세트,PNA38485,
PT4472,13,1,브랜디드피규어키링,PNA38814,
PT2673,13,2,슬로건다이어리(표준),PNA50117,
PT1232,13,0,슬로건다이어리(표준),PNA50117,
PT4771,13,0,임팩트슬로건타월,PNA50509,
PT4772,13,0,임팩트슬로건타월,PNA50509,
PT4399,12,2,브랜드팝클리어키링,PNA36625,
PT2352,12,0,Quality슬리브박스,PNA37408,
PT4863,12,2,킵세이프마그넷배터리Slim,PNA38064,
PT3237,12,1,Solid스탠다드G형박스(M사이즈),PNA38086,
PT3663,12,1,미니멀스텐머그,PNA38162,
PT3724,12,2,트리플컬러펜∣JETSTREAM,PNA38169,
PT4366,12,0,풀커버스티치노트(300개이하),PNA38280,
PT2911,12,4,하이킹폴딩방석,PNA38406,
