PT코드,차단단위수,단독차단수,예시_굿즈명,예시_PNA,규격_입력(가로x세로x높이mm)
PT0881,14,3,매트블랙텀블러,PNA38235,
PT0875,14,3,매트블랙텀블러,PNA38235,
PT0852,14,2,로고스트랩파우치(키트),PNA37360,
PT1234,14,1,슬로건다이어리(표준),PNA37360,
PT4363,14,1,풀커버스티치노트(300개이하),PNA38280,
PT4374,14,0,풀커버스티치노트(300개이하),PNA38280,
PT4669,13,3,베이직무선충전마우스패드[1],PNA38146,
PT4399,13,2,브랜드팝클리어키링,PNA36625,
PT1285,13,2,Motion스탠다드박스(Small),PNA38073,
PT3724,13,2,트리플컬러펜∣JETSTREAM,PNA38169,
PT2673,13,2,슬로건다이어리(표준),PNA50117,
PT4030,13,1,데일리짐색(키트),PNA37986,
PT4473,13,1,브랜디드피규어키링,PNA38231,
PT0847,13,0,로고스트랩파우치(키트),PNA37360,
PT4366,13,0,풀커버스티치노트(300개이하),PNA38280,
PT1232,13,0,슬로건다이어리(표준),PNA50117,
PT4771,13,0,임팩트슬로건타월,PNA50509,
PT4772,13,0,임팩트슬로건타월,PNA50509,
PT5134,12,3,커넥트6in1케이블키트,PNA50108,
PT4863,12,2,킵세이프마그넷배터리Slim,PNA38064,
PT4466,12,2,스탠리데일리텀블러,PNA38236,
PT4417,12,1,스탠리데일리텀블러,PNA38064,
PT3663,12,1,미니멀스텐머그,PNA38162,
PT4425,12,1,브랜디드피규어키링[3],PNA38181,
PT3729,12,1,미르(MiiR)텀블러,PNA38269,
PT5147,12,1,베이직도킹형보조배터리,PNA38534,
PT3850,12,1,테크미니파우치,PNA50519,
PT2352,12,0,Quality슬리브박스,PNA37408,
PT2554,12,0,애드온뱃지,PNA37519,
PT0879,12,0,매트블랙텀블러,PNA38235,
PT2403,12,0,매트블랙텀블러,PNA38235,
PT3694,11,9,Open페이퍼박스(스탠다드),PNA37408,
PT2911,11,4,하이킹폴딩방석,PNA38406,
PT5149,11,2,클로저휴대폰스트랩(블리스터),PNA50037,
PT3387,11,1,시그니처다이어리(블랙),PNA37892,
PT4880,11,1,킵세이프마그넷배터리Slim,PNA38064,
PT3237,11,1,Solid스탠다드G형박스(M사이즈),PNA38086,
PT4618,11,1,카드트레이피규어세트,PNA38485,
PT1132,11,0,스타일수면안대,PNA37901,
PT3627,11,0,스타일수면안대,PNA37901,
PT1130,11,0,스타일수면안대,PNA37901,
PT3154,11,0,미니멀스텐머그,PNA38162,
PT1676,11,0,톤앤톤쿨러백(단품),PNA38386,
PT4271,11,0,베이직도킹형보조배터리,PNA38534,
PT4273,11,0,베이직도킹형보조배터리,PNA38534,
PT1751,11,0,브랜드스트랩단우산,PNA50333,
PT4680,10,4,밸류무선충전마우스패드,PNA37986,
PT5079,10,4,밸류메모큐브(S),PNA50223,
PT2960,10,2,아이콘펜,PNA36861,
PT5276,10,2,스테이텀블러,PNA50196,
PT3286,10,2,올웨이즈양우산,PNA50201,
PT5083,10,2,월드와이드멀티어댑터,PNA50356,
PT4814,10,2,칠링패드냉각선풍기,PNA51062,
PT1029,10,1,브랜드-잇,PNA37892,
PT3463,10,1,스탠드-업칫솔,PNA37967,
PT4659,10,1,베이직무선충전마우스패드[1],PNA38146,
PT1027,10,1,브랜드-잇,PNA38261,
PT4945,10,1,어드벤스3단자동우산,PNA38332,
PT4249,10,1,베이직도킹형보조배터리,PNA38534,
PT4970,10,1,어드벤스3단자동우산,PNA50005,
PT5153,10,1,클로저휴대폰스트랩(블리스터),PNA50037,
PT4969,10,0,브릭메모&캘린더스탠드,PNA37408,
PT4875,10,0,킵세이프마그넷배터리Slim,PNA38064,
PT4689,10,0,베이직무선충전마우스패드[1],PNA38146,
PT4690,10,0,베이직무선충전마우스패드[1],PNA38146,
PT1677,10,0,톤앤톤쿨러백(단품),PNA38386,
PT3751,10,0,톤앤톤쿨러백(단품),PNA38386,
PT5037,10,0,시그니처다이어리(그레이),PNA38411,
PT4184,9,5,홀리데이네임택,PNA38156,
PT0883,9,4,매트블랙텀블러,PNA37967,
PT4115,9,3,프라임폴더블멀티충전기,PNA37456,
PT5076,9,3,밸류메모큐브(M),PNA38156,
PT4442,9,2,에센셜와인오프너세트,PNA38143,
PT4739,9,2,월드와이드멀티어댑터,PNA38271,
PT5222,9,2,아이덴티티스티커팩,PNA50718,
PT5052,9,2,브랜디드 피규어 키링,PNA51483,
PT3791,9,1,아이콘펜,PNA36861,
PT3721,9,1,아이콘펜,PNA36861,
PT4854,9,1,아이콘케이블홀더세트,PNA38381,
PT4841,9,1,아이콘케이블홀더세트,PNA38381,
PT4235,9,1,베이직도킹형보조배터리,PNA38534,
PT4194,9,1,하이업노트북폴딩스탠드,PNA50240,
PT5397,9,1,슬림 터보선풍기,PNA51820,
PT4569,9,0,브랜드팝클리어키링,PNA36625,
PT1906,9,0,브랜드-잇,PNA37892,
PT3150,9,0,미니멀스텐머그,PNA38213,
PT4416,9,0,스탠리데일리텀블러,PNA38236,
PT2435,9,0,톤앤톤쿨러백(단품),PNA38386,
PT1678,9,0,톤앤톤쿨러백(단품),PNA38386,
PT5254,9,0,스테이텀블러[1],PNA50920,
PT4106,8,4,홀리데이네임택,PNA38156,
PT0835,8,3,레더스킨다이어리(표준),PNA38081,
PT4601,8,3,포켓마켓백,PNA38842,
PT3681,8,3,브랜드스트랩단우산,PNA50078,
PT3726,8,3,스타트씨드키트,PNA50695,
PT2685,8,2,미르(MiiR)텀블러,PNA37834,
PT4699,8,2,밸류무선충전마우스패드,PNA38154,
PT2233,8,2,브랜디드노트북백_추가제작,PNA38373,
PT2915,8,2,하이킹폴딩방석,PNA50131,
PT3651,8,2,그래픽에코백,PNA50493,
PT5223,8,2,아이덴티티스티커팩,PNA50718,
PT4566,8,1,브랜드팝클리어키링,PNA36625,
PT0850,8,1,로고스트랩파우치(키트),PNA37360,
PT2018,8,1,컬러풀노트패드(블랙),PNA38099,
PT1461,8,1,올블랙펜,PNA38162,
PT4966,8,1,브릭스탠드멀티충전스테이션,PNA38303,
PT4472,8,1,브랜디드피규어키링,PNA38814,
PT1452,8,1,오피스마우스패드(스탠다드),PNA50128,
PT4794,8,1,월드와이드멀티어댑터,PNA50356,
PT5228,8,1,브릭메모&캘린더스탠드,PNA50414,
PT5229,8,1,브릭메모&캘린더스탠드2.0,PNA50484,
PT5260,8,1,컴포트스텐머그,PNA50504,
PT5256,8,1,스테이텀블러,PNA50863,
PT4568,8,0,브랜드팝클리어키링,PNA36625,
PT4835,8,0,Solid커스텀G형박스(S사이즈),PNA36861,
PT4848,8,0,아이콘케이블홀더세트,PNA38381,
PT1860,8,0,브랜드-잇,PNA50117,
PT2497,8,0,데스크테리어매트(대형),PNA50237,
PT3750,8,0,데스크테리어매트(대형),PNA50237,
PT2058,8,0,데스크테리어매트(대형),PNA50237,
PT4167,8,0,하이업노트북폴딩스탠드,PNA50337,
PT4183,8,0,하이업노트북폴딩스탠드,PNA50337,
PT4159,8,0,하이업노트북폴딩스탠드,PNA50337,
PT3624,8,0,더블업트래블파우치(Small)_단품,PNA50395,
PT4747,8,0,임팩트슬로건타월,PNA50509,
PT4755,8,0,칠링패드냉각선풍기,PNA51062,
PT3857,7,3,미스트워터보틀,PNA37701,
PT4029,7,3,데일리짐색(키트),PNA37834,
PT4885,7,3,챔피언피규어트로피,PNA38104,
PT3614,7,2,프라우드메모패드(블랙),PNA36940,
PT1902,7,2,페이퍼샤쉐,PNA37701,
PT4362,7,2,Motion스탠다드박스(Small),PNA38073,
PT4300,7,2,트리플컬러펜∣JETSTREAM,PNA50658,
PT4365,7,1,풀커버스티치노트(300개초과),PNA36625,
PT0561,7,1,Raw코튼파우치(L/XL사이즈),PNA36801,
PT4912,7,1,파워업PD충전기65W,PNA36801,
PT3743,7,1,디자이너노트,PNA37955,
PT4816,7,1,HighLight슬라이드지퍼백(1000개미만),PNA50018,
PT3616,7,1,굿이너프비치타월(300개이하),PNA50461,
PT5273,7,1,컴포트스텐머그,PNA50504,
PT3606,7,1,밸류메모큐브(S),PNA50514,
PT4827,7,1,칠링패드냉각선풍기,PNA51062,
PT3162,7,1,포시즌 티셔츠,PNA51289,
PT3699,7,1,포시즌 티셔츠,PNA51289,
PT4487,7,0,에센셜와인오프너세트,PNA38143,
PT4443,7,0,에센셜와인오프너세트,PNA38143,
PT3654,7,0,올블랙펜,PNA38162,
PT3744,7,0,컬러풀노트패드(블랙),PNA38221,
PT4710,7,0,브릭스탠드멀티충전스테이션,PNA38303,
PT4950,7,0,브릭스탠드멀티충전스테이션,PNA38303,
PT4953,7,0,브릭스탠드멀티충전스테이션,PNA38303,
PT3760,7,0,하이킹폴딩방석,PNA38406,
PT0699,7,0,그립잇,PNA38561,
PT2901,7,0,그립잇,PNA38561,
PT0701,7,0,그립잇,PNA38561,
PT1451,7,0,오피스마우스패드(스탠다드),PNA50128,
PT3702,7,0,오피스마우스패드(스탠다드),PNA50128,
PT3629,7,0,액티브스포츠타월,PNA50131,
PT5105,7,0,킵세이프마그넷배터리Max,PNA50152,
PT5135,7,0,커넥트6in1케이블키트,PNA50263,
PT1053,7,0,굿이너프비치타월(300개이하),PNA50461,
PT2056,7,0,데스크테리어매트(기본형),PNA50484,
PT5231,7,0,브릭메모&캘린더스탠드2.0,PNA50484,
PT4829,7,0,칠링패드냉각선풍기,PNA51062,
PT5055,7,0,브랜디드 피규어 키링,PNA51483,
PT5398,7,0,슬림 터보선풍기,PNA51873,
PT5184,6,5,아너월넛트로피,PNA38326,
PT3666,6,5,센텐스펜[1],PNA38515,
PT3165,6,4,포시즌티셔츠[1],PNA50824,
PT2597,6,2,프라우드투톤명함지갑(레디메이드),PNA38099,
PT3659,6,2,포시즌블랭킷(일반담요),PNA38622,
PT5233,6,2,미니어처NFC키링,PNA51260,
PT2440,6,1,베케이션여권케이스,PNA36886,
PT1715,6,1,페이퍼샤쉐,PNA37701,
PT1233,6,1,시그니처다이어리(블랙),PNA37892,
PT3904,6,1,리멤버탁상시계,PNA38212,
PT0864,6,1,릴리프눈마사지기,PNA38494,
PT0504,6,1,미르(MiiR)텀블러,PNA38534,
PT4102,6,1,와이드클립펜,PNA50238,
PT3136,6,1,포켓마켓백,PNA50314,
PT3732,6,1,포켓마켓백,PNA50314,
PT4746,6,1,임팩트슬로건타월,PNA50346,
PT5235,6,1,미니어처NFC키링,PNA50746,
PT3280,6,1,액티브스포츠타월,PNA50938,
PT1360,6,1,애드온 뱃지 [1],PNA51534,
PT5393,6,1,슬림 터보선풍기,PNA51873,
PT4609,6,0,브랜드팝클리어키링,PNA36625,
PT4370,6,0,풀커버스티치노트(300개초과),PNA36625,
PT4379,6,0,풀커버스티치노트(300개초과),PNA36625,
PT4367,6,0,풀커버스티치노트(300개초과),PNA36625,
PT3640,6,0,Raw코튼파우치(L/XL사이즈),PNA36801,
PT2484,6,0,Raw코튼파우치(L/XL사이즈),PNA36801,
PT4915,6,0,파워업PD충전기65W,PNA36801,
PT3790,6,0,아이콘펜,PNA36861,
PT4298,6,0,아이콘펜,PNA36861,
PT3661,6,0,페이퍼샤쉐,PNA37701,
PT0776,6,0,디자이너노트,PNA37955,
PT3711,6,0,노트북스탠드패드,PNA38099,
PT0738,6,0,노트북스탠드패드,PNA38099,
PT0739,6,0,노트북스탠드패드,PNA38099,
PT4492,6,0,에센셜와인오프너세트,PNA38143,
PT4657,6,0,베이직무선충전마우스패드[1],PNA38146,
PT4698,6,0,밸류무선충전마우스패드,PNA38154,
PT4687,6,0,밸류무선충전마우스패드,PNA38154,
PT2529,6,0,브랜디드노트북백_추가제작,PNA38373,
PT2232,6,0,브랜디드노트북백_추가제작,PNA38373,
PT2528,6,0,브랜디드노트북백_추가제작,PNA38373,
PT4944,6,0,어드벤스3단자동우산,PNA50005,
PT1238,6,0,슬로건다이어리(표준),PNA50066,
PT4809,6,0,HighLight슬라이드지퍼백(1000개미만),PNA50142,
PT4299,6,0,트리플컬러펜∣JETSTREAM,PNA50248,
PT4471,6,0,브랜디드피규어키링,PNA50265,
PT4094,6,0,프라임폴더블멀티충전기,PNA50354,
PT5275,6,0,컴포트스텐머그,PNA50504,
PT5154,6,0,밸류메모큐브(S),PNA50514,
PT5226,6,0,아이덴티티스티커팩,PNA51037,
PT4821,6,0,칠링패드냉각선풍기,PNA51062,
PT3215,6,0,포시즌 티셔츠,PNA51289,
PT3658,5,5,Eco페이퍼박스(S사이즈),PNA50031,
PT3665,5,3,쇼핑백,PNA38167,
PT3497,5,2,클립아트펜,PNA37892,
PT3579,5,2,버티컬무선충전패드,PNA37955,
PT0775,5,2,디자이너노트,PNA38399,
PT1841,5,2,홈카페코스터,PNA50261,
PT1720,5,2,포시즌블랭킷(무릎담요),PNA50361,
PT3739,5,2,플레인USB,PNA50882,
PT2081,5,2,클리어리유저블컵(스탠다드),PNA51014,
PT5220,5,2,아이덴티티스티커팩,PNA51037,
PT5282,5,2,아트워크 타월,PNA51737,
PT3893,5,1,미스트워터보틀,PNA37701,
PT1981,5,1,Quality슬리브박스,PNA37748,
PT1755,5,1,프라우드투톤명함지갑(레디메이드),PNA38099,
PT4108,5,1,홀리데이네임택,PNA38156,
PT4381,5,1,에센셜장우산(실버),PNA38223,
PT4724,5,1,오아시스미니마사지건,PNA38324,
PT1211,5,1,스펙트럼컬러펜[2],PNA38368,
PT0617,5,1,Solid커스텀G형박스(L사이즈),PNA50053,
PT1106,5,1,소프트터치블루투스키보드,PNA50302,
PT2780,5,1,리틀빅리유저블컵(반투명.아이보리),PNA50514,
PT3759,5,1,리틀빅리유저블컵(블루.그린.옐로우.카키),PNA50821,
PT1809,5,1,플레인USB,PNA51088,
PT3706,5,0,베케이션여권케이스,PNA36886,
PT2524,5,0,베케이션여권케이스,PNA36886,
PT3692,5,0,Tailored스트랩박스,PNA37967,
PT4391,5,0,스탠리데일리텀블러,PNA38064,
PT2581,5,0,에디션골프공6구,PNA38232,
PT2684,5,0,미르(MiiR)텀블러,PNA38269,
PT0502,5,0,미르(MiiR)텀블러,PNA38269,
PT4990,5,0,몰스킨2026다이어리,PNA38321,
PT5141,5,0,오아시스미니마사지건,PNA38324,
PT2230,5,0,브랜디드노트북백_추가제작,PNA38373,
PT3913,5,0,리멤버탁상시계,PNA38483,
PT3899,5,0,리멤버탁상시계,PNA38483,
PT3653,5,0,브랜디드노트북백,PNA38749,
PT1235,5,0,시그니처다이어리(블랙),PNA50047,
PT4832,5,0,Solid커스텀G형박스(L사이즈),PNA50053,
PT2691,5,0,릴리프눈마사지기,PNA50090,
PT3583,5,0,릴리프눈마사지기,PNA50090,
PT0865,5,0,릴리프눈마사지기,PNA50090,
PT3722,5,0,릴리프눈마사지기,PNA50090,
PT4308,5,0,그래픽배너대용량보조배터리,PNA50140,
PT4310,5,0,그래픽배너대용량보조배터리,PNA50140,
PT1512,5,0,유니크디퓨저[1],PNA50185,
PT3139,5,0,포켓마켓백,PNA50314,
PT3161,5,0,포켓마켓백,PNA50314,
PT4162,5,0,하이업노트북폴딩스탠드,PNA50337,
PT5212,5,0,레더스킨다이어리(표준),PNA50379,
PT3184,5,0,더블업트래블파우치(Small)_단품,PNA50395,
PT3187,5,0,더블업트래블파우치(Small)_단품,PNA50395,
PT2214,5,0,프리미엄스트링후드집업(F/W),PNA50539,
PT5104,5,0,킵세이프마그넷배터리Max,PNA50640,
PT5274,5,0,미니어처NFC키링,PNA51037,
PT5227,5,0,아이덴티티스티커팩,PNA51037,
PT3937,5,0,스탠딩 휴대용 선풍기,PNA51406,
PT3927,5,0,스탠딩 휴대용 선풍기,PNA51406,
PT5391,5,0,슬림 터보선풍기,PNA51873,
PT5302,4,4,모먼트골드스파클[1],PNA51443,
PT4895,4,3,센텐스펜[1],PNA38610,
PT3946,4,3,Storage펄프박스,PNA50479,
PT4813,4,2,밀크에코컵,PNA37408,
PT4796,4,2,밀크에코컵,PNA37408,
PT4371,4,2,히트업손난로보조배터리,PNA38117,
PT4900,4,2,심볼아크릴트로피,PNA50702,
PT4026,4,2,데일리짐색(단품)[1],PNA50919,
PT1742,4,1,풀커버스프링노트,PNA36861,
PT4967,4,1,브릭메모&캘린더스탠드,PNA37408,
PT4713,4,1,브릭메모&캘린더스탠드,PNA37408,
PT0854,4,1,리유저블캘린더,PNA37455,
PT3693,4,1,클립아트펜,PNA37892,
PT3703,4,1,버티컬무선충전패드,PNA37955,
PT2709,4,1,버티컬무선충전패드,PNA37955,
PT4279,4,1,Brandfit커스텀쇼핑백,PNA38162,
PT1760,4,1,프라우드투톤명함지갑(레디메이드),PNA38162,
PT1457,4,1,오피스마우스패드(스탠다드),PNA38623,
PT4258,4,1,Brandfit커스텀쇼핑백,PNA38696,
PT5204,4,1,어텐션스포츠보틀,PNA38815,
PT4683,4,1,밸류무선충전마우스패드,PNA50103,
PT4916,4,1,챔피언피규어트로피,PNA50359,
PT2121,4,1,스타트씨드키트,PNA51075,
PT5304,4,1,모바일오피스파우치2.0,PNA51453,
PT2366,4,0,Quality슬리브박스,PNA37748,
PT4485,4,0,스탠리슬림보틀,PNA37748,
PT4480,4,0,스탠리슬림보틀,PNA37748,
PT4478,4,0,스탠리슬림보틀,PNA37748,
PT4475,4,0,스탠리슬림보틀,PNA37748,
PT1135,4,0,스타일수면안대,PNA37901,
PT2542,4,0,스타일수면안대,PNA37901,
PT1133,4,0,스타일수면안대,PNA37901,
PT1134,4,0,스타일수면안대,PNA37901,
PT3288,4,0,올웨이즈양우산,PNA37955,
PT2936,4,0,Tailored스트랩박스,PNA37967,
PT2927,4,0,Tailored스트랩박스,PNA37967,
PT2922,4,0,Tailored스트랩박스,PNA37967,
PT0838,4,0,레더스킨다이어리(표준),PNA38081,
PT3638,4,0,프라우드투톤명함지갑(레디메이드),PNA38099,
PT4926,4,0,챔피언피규어트로피,PNA38104,
PT4658,4,0,베이직무선충전마우스패드[2],PNA38146,
PT2516,4,0,마그넷오프너,PNA38156,
PT3734,4,0,마그넷오프너,PNA38156,
PT4346,4,0,에센셜장우산(실버),PNA38223,
PT4347,4,0,에센셜장우산(실버),PNA38223,
PT4380,4,0,에센셜장우산(실버),PNA38223,
PT2917,4,0,하이킹폴딩방석,PNA38406,
PT4619,4,0,카드트레이피규어세트,PNA38485,
PT3566,4,0,그립잇,PNA38561,
PT3756,4,0,그립잇,PNA38561,
PT4943,4,0,어드벤스3단자동우산,PNA50005,
PT0866,4,0,릴리프눈마사지기,PNA50090,
PT2395,4,0,오토매틱와인오프너,PNA50134,
PT4324,4,0,그래픽배너대용량보조배터리,PNA50140,
PT4323,4,0,그래픽배너대용량보조배터리,PNA50140,
PT4315,4,0,그래픽배너대용량보조배터리,PNA50140,
PT4272,4,0,심볼릭스테들러:형광펜4종세트,PNA50148,
PT4169,4,0,심볼릭스테들러:형광펜4종세트,PNA50148,
PT2502,4,0,드레스업손거울,PNA50153,
PT3728,4,0,드레스업손거울,PNA50153,
PT1645,4,0,에디션골프공6구,PNA50201,
PT1644,4,0,에디션골프공6구,PNA50201,
PT2525,4,0,브랜드스트랩단우산,PNA50333,
PT3601,4,0,브랜드스트랩단우산,PNA50333,
PT3608,4,0,홈카페코스터,PNA50386,
PT2604,4,0,홈카페코스터,PNA50386,
PT3745,4,0,소프트터치블루투스키보드,PNA50422,
PT3600,4,0,소프트터치블루투스키보드,PNA50422,
PT3781,4,0,리멤버타투스티커,PNA50731,
PT3611,4,0,리멤버타투스티커,PNA50731,
PT5086,4,0,아임히어리플렉터키링,PNA50731,
PT5085,4,0,아임히어리플렉터키링,PNA50731,
PT5091,4,0,아임히어리플렉터키링,PNA50731,
PT5241,4,0,미니어처NFC키링,PNA50746,
PT2792,4,0,리틀빅리유저블컵(블루.그린.옐로우.카키),PNA50821,
PT2916,4,0,하이킹폴딩방석,PNA50831,
PT2126,4,0,스타트씨드키트,PNA51075,
PT3217,4,0,셀렉티브전동오프너&와인잔세트,PNA51079,
PT1808,4,0,플레인USB,PNA51088,
PT5303,4,0,모바일오피스파우치2.0,PNA51636,
PT5286,4,0,모바일오피스파우치2.0,PNA51636,
PT3166,4,0,포시즌 티셔츠,PNA51637,
PT4611,3,3,가챠머신,PNA51534,
PT2914,3,2,하이킹폴딩방석,PNA38406,
PT2494,3,2,글로시키링,PNA50318,
PT2273,3,2,아트워크레더다이어리,PNA50765,
PT4822,3,2,칠링패드 냉각선풍기,PNA51603,
PT2727,3,1,슬로건다이어리(표준),PNA37460,
PT5026,3,1,시그니처다이어리(그레이),PNA37986,
PT0855,3,1,리유저블캘린더,PNA38046,
PT4919,3,1,심볼아크릴트로피[1],PNA38213,
PT0645,3,1,매트블랙텀블러,PNA38323,
PT3631,3,1,웹캠커버,PNA38561,
PT3667,3,1,아트워크레더다이어리,PNA50024,
PT2714,3,1,아트워크레더다이어리,PNA50024,
PT3662,3,1,슈가케인펜,PNA50165,
PT2539,3,1,슈가케인펜,PNA50165,
PT3068,3,1,유니크디퓨저[1],PNA50185,
PT3592,3,1,에디션골프공6구,PNA50201,
PT4328,3,1,베이직도킹형보조배터리,PNA50251,
PT3910,3,1,주차번호판피규어세트,PNA50361,
PT3907,3,1,주차번호판피규어세트,PNA50361,
PT1026,3,1,브랜드스트랩단우산,PNA50669,
PT4949,3,1,브릭스탠드 멀티충전기,PNA50699,
PT4264,3,1,플러스멀티충전스테이션,PNA50779,
PT3401,3,1,스탠리데일리텀블러,PNA50803,
PT4575,3,1,샤인미러키링,PNA50805,
PT5257,3,1,스테이텀블러,PNA50805,
PT4257,3,1,Brandfit커스텀쇼핑백,PNA50824,
PT4349,3,1,에센셜장우산(풀컬러),PNA50831,
PT4778,3,1,해피웨이런치백(단품),PNA51015,
PT1811,3,1,플레인USB,PNA51251,
PT0034,3,1,슬로건 다이어리,PNA51270,
PT2971,3,1,메시지캐리어파우치,PNA51299,
PT0597,3,1,Solid 커스텀 G형박스,PNA51345,
PT1621,3,1,클래시 차량용 방향제,PNA51370,
PT5379,3,1,심볼 NFC 키링 [2],PNA51426,
PT5355,3,1,하우스 핸드타월,PNA51712,
PT4507,3,1,팝업스토어 피규어 세트,PNA51891,
PT4564,3,0,브랜드팝클리어키링,PNA36625,
PT4971,3,0,브릭메모&캘린더스탠드,PNA37408,
PT4968,3,0,브릭메모&캘린더스탠드,PNA37408,
PT3612,3,0,리유저블캘린더,PNA38046,
PT1925,3,0,리유저블캘린더,PNA38046,
PT4688,3,0,밸류무선충전마우스패드,PNA38154,
PT4684,3,0,밸류무선충전마우스패드,PNA38154,
PT0868,3,0,마그넷오프너,PNA38156,
PT1364,3,0,애드온뱃지,PNA38223,
PT4352,3,0,에센셜장우산(실버),PNA38223,
PT1380,3,0,에디션골프공6구,PNA38232,
PT3400,3,0,스탠리데일리텀블러,PNA38236,
PT2561,3,0,프리미엄스트링후드집업(F/W)_추가제작,PNA38256,
PT5013,3,0,몰스킨2026다이어리,PNA38321,
PT5011,3,0,몰스킨2026다이어리,PNA38321,
PT0716,3,0,내추럴노트,PNA38561,
PT4277,3,0,심볼릭스테들러:형광펜4종세트,PNA50148,
PT2465,3,0,드레스업손거울,PNA50153,
PT2467,3,0,드레스업손거울,PNA50153,
PT1511,3,0,유니크디퓨저[1],PNA50185,
PT2569,3,0,유니크디퓨저[1],PNA50185,
PT1506,3,0,유니크디퓨저[1],PNA50185,
PT3668,3,0,유니크디퓨저[1],PNA50185,
PT2692,3,0,유니크디퓨저[1],PNA50185,
PT2558,3,0,에디션골프공6구,PNA50201,
PT2595,3,0,풀커버스프링노트,PNA50217,
PT3617,3,0,풀커버스프링노트,PNA50217,
PT1746,3,0,풀커버스프링노트,PNA50217,
PT5025,3,0,시그니처다이어리(그레이)[1],PNA50328,
PT4918,3,0,챔피언피규어트로피,PNA50359,
PT1845,3,0,홈카페코스터,PNA50386,
PT1722,3,0,포시즌블랭킷(무릎담요),PNA50419,
PT1102,3,0,소프트터치블루투스키보드,PNA50422,
PT0694,3,0,그래픽에코백,PNA50493,
