표준키,키유형,TMS_견적코드,매칭방식,매칭신뢰도,검증상태,근거
PT1433-오토매틱와인오프너(스탠다드)_다크그레이 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT1443-슬라이드지퍼백 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT1464-올블랙펜_매트블랙,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT1464-올블랙펜_매트블랙 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT1468-배경지 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT1468-펜배경지-,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT1493-오픈박스(스탠다드)(Small)_화이트_100-4,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT1541-지지대_화이트_100-2 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT1547-덮개박스(커스텀인쇄) -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT1569-컬러풀노트패드_블랙,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=8
PT1569-컬러풀노트패드_블랙 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT1571-OPP_100-4,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT1583-골지단품박스_그레이_100-2 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
PT1597-케어풀포켓새니타이저_화이트,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT1603-실버팩_100-2 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT1674-OPP_000-3,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
PT1674-OPP_000-3 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT1674-OPP_000-3-,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT1679-주의사항표기서 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT1708-주의사항표기서(전용)_화이트_000-6_B,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
PT1709-주의사항표기택(골든뱀부),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT1711-주의사항표기택,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT1718-샤쉐향(골든뱀부),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT1719-미스트페이퍼봉투,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT1719-미스트페이퍼봉투_반투명_100-1 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT1729-펠트스트링파우치 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT1729-펠트스트링파우치(커스텀인쇄)_그레이_200-1,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=5
PT1729-펠트스트링파우치_200-1 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT1729-펠트스트링파우치_그레이_200-1,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT1733-무광스트링파우치(커스텀인쇄)_반투명_100-1,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT1733-무광스트링파우치(커스텀인쇄)_반투명_100-1 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT1779-골프공(타이틀리스트프로V1),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT1780-쇼핑백_화이트_200-3,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT1780-쇼핑백_화이트_200-3 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT1787-오픈박스(스탠다드)(Small)_블랙_100-4,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT1800-샤쉐향,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT1802-헤링본끈,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT1802-헤링본끈_화이트,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
PT1821-핑거팬_코튼화이트,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT1830-핸디파우더솝,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2078-클리어리유저블컵_리드(스트로우리드)_화이트,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2079-클리어리유저블컵_리드 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2089-골지단품박스_그레이_100-5,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2096-핸들택(투웨이에코쇼핑백)_그레이,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT2106-단품박스(스탠다드)_웜그레이_000-27,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=4
PT2115-펠트스트링파우치 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2115-펠트스트링파우치(커스텀인쇄)_그레이_300-2,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2115-펠트스트링파우치(커스텀인쇄)_그레이_300-2 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT2131-골지단품박스(스탠다드)_화이트_100-6,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT2131-골지단품박스(스탠다드)_화이트_100-6 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2152-비누트레이(천연수세미),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2152-비누트레이(천연수세미) -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2169 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2169-단품박스(스탠다드)_화이트_100-17,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2182-리프레쉬고체치약(페퍼민트.50정),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2187-린넨메쉬스트링파우치 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2187-린넨메쉬스트링파우치(스탠다드)(M),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=6
PT2187-린넨메쉬스트링파우치(스탠다드)(M) -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=5
PT2227-펠트스트링파우치_화이트_200-2,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2227-펠트스트링파우치_화이트_200-2 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2228-브랜디드노트북백_블랙,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2231-크로스스트랩_블랙,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
PT2231-크로스스트랩_블랙 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2234-OPP_300-2 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2242-포터블캠핑롤테이블(상판)_블랙 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2242-포터블캠핑롤테이블(세트_본품및파우치)_블랙 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2243-레더라벨캠핑체어(세트_본품및파우치)_블랙,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2250-아트워크레더다이어리_내지(만년) -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2268-레더라벨캠핑체어 다리 :,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2268-레더라벨캠핑체어 의자시트 :,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2268-레더라벨캠핑체어 파우치 :,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2268-레더라벨캠핑체어(세트_본품및파우치)_베이지,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
PT2268-레더라벨캠핑체어PT2283-주의사항표기서 :,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2283-주의사항표기서(전용)_화이트_100-3,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2293-주의사항표기서(전용)_화이트_100-2,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT2300-택스티커,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2371-버티컬무선충전패드(15W)_화이트,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT2375-OPP(전용)_100-17,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT2375-OPP(전용)_100-17 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2395-AA건전지(파워랜드),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2401-매트블랙텀블러,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2401-매트블랙텀블러 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2403-가죽슬리브,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2403-가죽슬리브 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT2435-톤앤톤쿨러백 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2443-사각스티커,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT2446-페이퍼G형박스(스탠다드)_화이트,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2472-트리플컬러펜_블랙,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=7
PT2472-트리플컬러펜_블랙 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT2473-트리플컬러펜_그레이지,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=8
PT2473-트리플컬러펜_그레이지 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT2475-바스켓 그레이 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2475-바스켓 오트밀 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2476-슬리브 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2479-페이퍼G형박스 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2481-데코스티커,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2481-데코스티커 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2482-Open페이퍼박스 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2486-골지G형박스_추상적산출물,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2505-사파리볼펜-,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
PT2507-슬리브_라미사파리펜 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2511-레더스킨다이어리 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2514-리유저블캘린더 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2522-밸류메모큐브_추상적산출물,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2527-브랜드잇_커버 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2528-브랜디드노트북백 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2529-레더라벨 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2534-펠트스트링파우치,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2544-스탠드업칫솔_추상적산출물,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2547-슬리브(슬리브박스) -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2551-썸네일캘린더-,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2554-애드온뱃지 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2572-일러스트손수건 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2580-클래시차량용방향제_추상적산출물,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2590-페이퍼샤쉐,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT2610-사각스티커(커스텀인쇄)_화이트+디지털풀컬러_000-85,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2671-슬로건다이어리-,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2707-모바일오피스파우치 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2741-슈가케인텀블러(360ml)_크림,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=4
PT2741-슈가케인텀블러(360ml)_크림 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2742-슈가케인스트로우_크림,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT2742-슈가케인스트로우_크림 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2802-아이콘펜(바디)_화이트,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=11
PT2802-아이콘펜(바디)_화이트 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=9
PT2802-아이콘펜(바디)_화이트 - 459+a개,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2802-아이콘펜(바디)_화이트-,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2811-덮개박스(스탠다드)_블랙 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
PT2812-골지트레이박스_블랙 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2813-골지트레이박스_화이트 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2817-어텐션스포츠보틀,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2817-어텐션스포츠보틀 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2821-단품박스(전용)(무충마패.와이드.스플릿.맥스)_화이트 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2822-레디고런치박스_본품,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2823-레디고런치박스_투명캡,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT2824-단품박스(스탠다드)_웜그레이,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=8
PT2825-주의사항표기서(전용) 레디고런치박스,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2828-투명손잡이지퍼백,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2828-투명손잡이지퍼백(L),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2829-트레이박스_화이트 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2831-주의사항스티커(전용)_화이트+디지털풀컬러,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
PT2836-버튼링_반투명,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
PT2836-버튼링_반투명 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2847-OPP 100매,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2848-주의사항표기택 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2861-페이퍼링캘린더 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT2874-사각스티커(커스텀인쇄)_화이트 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2918-사각스티커,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2922-슬리브 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2932-웰컴페이퍼 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2938-하이킹폴딩방석,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT2938-하이킹폴딩방석 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2939-OPP(전용,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2939-OPP(전용),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2939-OPP(전용) -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2960-아크릴아이콘_투명,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2962-아이콘펜(클립)_화이트,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT2962-아이콘펜(클립)_화이트 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=6
PT2986-지지박스 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT2988-스페이스차량용청소기_블랙,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT2995-지지대(전용)_화이트,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3072-에어캡봉투(소),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=7
PT3072-에어캡봉투(소) -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3073-에어캡봉투(중),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=4
PT3074-에어캡봉투(대),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
PT3074-에어캡봉투(대) -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT3086-휴대용치약 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3086-휴대용치약(언파차차20g)_화이트,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3139-포켓마켓백_추상적산출물,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3154-미니멀스텐머그 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3154-미니멀스텐머그_추상적산출물,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3167-OPP(전용),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3167-OPP(전용) -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3200-캐리미와인잔(컵부분),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3201-캐리미와인잔(받침대)_투명,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3217-캐리미와인잔,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3217-캐리미와인잔 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3282-띠지(커스텀인쇄)_화이트+디지털풀컬러,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3285-액티브스포츠타월_추상적산출물,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3298-올웨이즈양우산,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3314-블리스터(전용)_투명,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3314-블리스터(전용)_투명 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT3316-띠지-,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3325-리마커블UV칫솔살균기(C타입),굿즈명,UVBR,유사,0.40,보류,jaccard score=0.40 freq=3
PT3325-리마커블UV칫솔살균기(C타입) -,굿즈명,UVBR,유사,0.40,보류,jaccard score=0.40 freq=2
PT3329-슈가케인펜_쿨그레이,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=5
PT3330-칫솔케이스(커스텀인쇄)_투명,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
PT3330-칫솔케이스(커스텀인쇄)_투명 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3331-테크미니파우치,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3339-핸디링미니선풍기_화이트,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT3340-핸디링미니선풍기_네이비,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3343-펄프박스_리드_그레이,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=4
PT3344-펄프박스_바디_그레이,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
PT3345-띠지밴드_그레이 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3348-단품박스(스탠다드)_화이트 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3356-심플바인더노트(바인더+내지2종),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3363-바닥지_화이트+옵셋풀컬러 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3365-와이드클립펜_올블랙,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT3366-와이드클립펜_화이트,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3371-시그니처다이어리_블랙,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3377-시그니처다이어리_밴드_20.빨강,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3386-시그니처다이어리_라이트그레이,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3395-슬리브(전용)(Tower)_투명+블랙인쇄,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3576-스펙트럼컬러펜 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3576-스펙트럼컬러펜-,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3579-버티컬무선충전패드 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3591-외주생산총공정산출물_어태치보조배터리,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3601-브랜드스트랩단우산,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3604-외주생산총공정산출물_슈가케인펜,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3766-킵세이프마그넷배터리,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=9
PT3766-킵세이프마그넷배터리 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=4
PT3771-주의사항표기서(전용)_화이트,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3779-무광스트링파우치 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3787-칫솔케이스 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3787-칫솔케이스_추상적산출물,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3853-미스트워터보틀_추상적산출물,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT3900-리멤버탁상시계,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT3995 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4012-프리미엄3단암막우산_블랙,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4014-굿데이캐리어파우치_실버,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4015-락앤락더블월콜드컵_아이보리,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4015-락앤락더블월콜드컵_아이보리 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4027-데일리짐색,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4032-사각스티커,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4103-와이드클립펜 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4239-리프레쉬고체치약 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4240-사각스티커,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT4271-베이직도킹형보조배터리,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT4275-브랜드핏쇼핑백,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4318-모션스탠다드박스_커버 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4330-히트업손난로보조배터리_화이트,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4379-풀커버스티치노트 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4399-OPP -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4467-브랜디드피규어,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4475-스탠리슬림보틀,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
PT4475-스탠리슬림보틀 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4592-배경지,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4605-비스포크_산출물(상품),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4610-브랜드팝클리어키링 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4612-라이트샤오미펜,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4615-올데이텀블러_화이트(ver2),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT4707-EVA파우치실리콘링_화이트 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4708-3단자동우산_블랙,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT4709-단품박스(전용) -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4710-브릭스탠드멀티충전스테이션_(블리스터),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4712-단품박스(전용)_화이트,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT4714-메모패드 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4715-사용설명서(전용)(브릭메모캘린더스탠드) -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4716-밸류메모큐브(ver2)(점착.S),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4718-밸류메모큐브(ver2)(비점착.S),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4719-밸류메모큐브(ver2)(비점착.M),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4723-오아시스미니마사지건(전용)_박스,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4726-단품박스(스탠다드)_화이트 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4727-주의사항표기서 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4729-커넥트6in1케이블키트_본품,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4730-단품박스(전용)_화이트,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4734-브랜디드피규어키링,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4751-하이라이트슬라이드지퍼백(M),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=8
PT4755-칠링패드냉각선풍기_화이트,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4756-마그넷케이블홀더_화이트,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT4757-마그넷케이블홀더_블랙,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT4758-단품박스(전용),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT4759-블리스터(전용),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
PT4761-골지G형박스(M)_그레이,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4768-EVA파우치(전용)_반투명 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4795-올웨이즈양우산(세트_본품및케이스)_블랙,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4830-솔리드레디백_블랙,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4843-골지단품박스(전용)(핸들),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4856-어텐션스포츠보틀(GS),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4860-브랜디드타월,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
PT4860-브랜디드타월 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
