표준키,키유형,TMS_견적코드,매칭방식,매칭신뢰도,검증상태,근거
Eco페이퍼박스(T사이즈) A키트,굿즈명,ECPB,유사,0.75,미검증,jaccard score=0.75 freq=1
Eco페이퍼박스(T사이즈) B키트,굿즈명,ECPB,유사,0.75,미검증,jaccard score=0.75 freq=3
Eco페이퍼박스(T사이즈) 키트,굿즈명,ECPB,유사,0.75,미검증,jaccard score=0.75 freq=28
Eco페이퍼박스(T사이즈)키트,굿즈명,ECPB,유사,0.75,미검증,jaccard score=0.75 freq=17
G형박스 L사이즈,굿즈명,SOLD,유사,0.50,미검증,jaccard score=0.50 freq=2 ambiguous-name:SCGB|SOLD
G형박스 L사이즈 사각스티커,굿즈명,SOLD,유사,0.40,미검증,jaccard score=0.40 freq=5 ambiguous-name:SCGB|SOLD
HighLight 슬라이드 지퍼백,굿즈명,HLSZ,정확,1.00,확정,name2code score=1.00 freq=1
HighLight슬라이드지퍼백,굿즈명,HLSZ,정확,1.00,미검증,jaccard score=1.00 freq=6 ambiguous-name:HLST|HLSZ
HighLight슬라이드지퍼백 키트,굿즈명,HLST,유사,0.67,미검증,jaccard score=0.67 freq=7 ambiguous-name:HLST|HLSZ
HighLight슬라이드지퍼백(1000개미만),굿즈명,HLST,유사,0.67,미검증,jaccard score=0.67 freq=4 ambiguous-name:HLST|HLSZ
HighLight슬라이드지퍼백(1000개미만) 키트,굿즈명,HLST,유사,0.50,미검증,jaccard score=0.50 freq=1 ambiguous-name:HLST|HLSZ
HighLight슬라이드지퍼백(1000개미만)키트,굿즈명,HLST,유사,0.50,미검증,jaccard score=0.50 freq=5 ambiguous-name:HLST|HLSZ
HighLight슬라이드지퍼백1),굿즈명,HLST,정확,1.00,미검증,jaccard score=1.00 freq=1 ambiguous-name:HLST|HLSZ
HighLight슬라이드지퍼백300,굿즈명,HLST,정확,1.00,미검증,jaccard score=1.00 freq=1 ambiguous-name:HLST|HLSZ
KeepSafe안전봉투,굿즈명,SFPP,정확,1.00,확정,jaccard score=1.00 freq=2
KeepSafe안전봉투 키트,굿즈명,SFPP,유사,0.67,미검증,jaccard score=0.67 freq=5
KeepSafe안전봉투+스티커,굿즈명,SFPP,유사,0.67,미검증,jaccard score=0.67 freq=1
KeepSafe안전봉투+썸네일캘린더,굿즈명,SFPP,유사,0.67,미검증,jaccard score=0.67 freq=1
Lite 스트랩 박스,굿즈명,TWKF,정확,1.00,확정,name2code score=1.00 freq=1
Lite 스트랩 박스 키트,굿즈명,TWKF,유사,0.75,미검증,jaccard score=0.75 freq=6
MM00078697 로 입하된 킵세이프 마그넷 배터리,굿즈명,KSMB,유사,0.60,미검증,jaccard score=0.60 freq=1 ambiguous-name:KSMB|MGNB
Motion커스텀박스(Small) 키트,굿즈명,MBCS,유사,0.50,미검증,jaccard score=0.50 freq=1
Motion커스텀박스(Tower),굿즈명,MBCS,유사,0.67,미검증,jaccard score=0.67 freq=2
Motion커스텀박스(Tower) 키트,굿즈명,MBCS,유사,0.50,미검증,jaccard score=0.50 freq=1
Open 페이퍼박스 키트,굿즈명,OPPR,유사,0.50,미검증,jaccard score=0.50 freq=2
Open페이퍼박스,굿즈명,OPPR,유사,0.67,미검증,jaccard score=0.67 freq=1
Open페이퍼박스 키트,굿즈명,OPPR,유사,0.50,미검증,jaccard score=0.50 freq=7
Open페이퍼박스(Large) 키트,굿즈명,OPPL,유사,0.60,미검증,jaccard score=0.60 freq=1
Open페이퍼박스(Small) 키트,굿즈명,OPPB,유사,0.60,미검증,jaccard score=0.60 freq=1
Open페이퍼박스(스탠다드),굿즈명,OPPR,정확,1.00,확정,jaccard score=1.00 freq=7
Open페이퍼박스(스탠다드) (일본어버전),굿즈명,OPPR,유사,0.75,미검증,jaccard score=0.75 freq=1
Open페이퍼박스(스탠다드) 키트,굿즈명,OPPR,유사,0.75,미검증,jaccard score=0.75 freq=17
Open페이퍼박스(스탠다드) 키트 웰컴페이퍼,굿즈명,OPPR,유사,0.60,미검증,jaccard score=0.60 freq=1
Open페이퍼박스(스탠다드) 키트 웰컴페이퍼 O,굿즈명,OPPR,유사,0.60,미검증,jaccard score=0.60 freq=1
Open페이퍼박스(스탠다드)300,굿즈명,OPPR,정확,1.00,확정,jaccard score=1.00 freq=1
Open페이퍼박스(스탠다드)키트,굿즈명,OPPR,유사,0.75,미검증,jaccard score=0.75 freq=17
Open페이퍼박스(스탠다드)키트(ver1),굿즈명,OPPR,유사,0.60,미검증,jaccard score=0.60 freq=1
Open페이퍼박스(스탠다드)키트(ver2),굿즈명,OPPR,유사,0.60,미검증,jaccard score=0.60 freq=1
Open페이퍼박스(커스텀,굿즈명,OPPC,유사,0.75,미검증,jaccard score=0.75 freq=21
Open페이퍼박스100,굿즈명,OPPR,유사,0.67,미검증,jaccard score=0.67 freq=1
PD충전기,굿즈명,PUPD,유사,0.67,미검증,jaccard score=0.67 freq=2
PD충전기(Lite모델),굿즈명,PDCX,유사,0.67,미검증,jaccard score=0.67 freq=2
PD충전기(PRO모델),굿즈명,PDCG,유사,0.67,미검증,jaccard score=0.67 freq=3
PNA17869-PMG 애드온뱃지,굿즈명,AOBG,유사,0.50,미검증,jaccard score=0.50 freq=1
PNA20038-고양시도서관센터 애드온뱃지,굿즈명,AOBG,유사,0.50,미검증,jaccard score=0.50 freq=1
PNA22933-골든플래닛 레더스킨 다이어리,굿즈명,LSKF,유사,0.50,미검증,jaccard score=0.50 freq=1
PT4834-Solid커스텀G형박스,굿즈명,SOLD,유사,0.40,미검증,jaccard score=0.40 freq=1 ambiguous-name:SCGB|SOLD
Passion 더스트백,굿즈명,DBAG,정확,1.00,확정,name2code score=1.00 freq=2
Passion 더스트백1),굿즈명,DBAM,유사,0.67,미검증,jaccard score=0.67 freq=1
Passion 더스트백2),굿즈명,DBAM,유사,0.67,미검증,jaccard score=0.67 freq=1
Passion더스트백 키트 (블랙M),굿즈명,DBAG,유사,0.75,미검증,jaccard score=0.75 freq=1
Passion더스트백 키트(블랙M),굿즈명,DBAG,유사,0.75,미검증,jaccard score=0.75 freq=1
Passion더스트백(반투명),굿즈명,DBAM,정확,1.00,확정,jaccard score=1.00 freq=1
Passion더스트백(반투명)키트,굿즈명,DBAM,유사,0.75,미검증,jaccard score=0.75 freq=3
Passion더스트백(반투명L),굿즈명,DBAM,정확,1.00,확정,jaccard score=1.00 freq=23
Passion더스트백(반투명L) 키트,굿즈명,DBAM,유사,0.75,미검증,jaccard score=0.75 freq=28
Passion더스트백(반투명L)키트,굿즈명,DBAM,유사,0.75,미검증,jaccard score=0.75 freq=14
Passion더스트백(반투명L)키트 (선풍기네이비)50,굿즈명,DBAM,유사,0.60,미검증,jaccard score=0.60 freq=1
Passion더스트백(반투명L)키트 (선풍기화이트),굿즈명,DBAM,유사,0.60,미검증,jaccard score=0.60 freq=1
Passion더스트백(반투명L)키트 L-,굿즈명,DBAM,유사,0.60,미검증,jaccard score=0.60 freq=1
Passion더스트백(반투명L)키트 M-,굿즈명,DBAM,유사,0.60,미검증,jaccard score=0.60 freq=1
Passion더스트백(반투명L)키트 S-,굿즈명,DBAM,유사,0.60,미검증,jaccard score=0.60 freq=1
Passion더스트백(반투명L)키트 XL-,굿즈명,DBAM,유사,0.60,미검증,jaccard score=0.60 freq=1
Passion더스트백(반투명M),굿즈명,DBAM,정확,1.00,확정,jaccard score=1.00 freq=14
Passion더스트백(반투명M) (8pin) 키트,굿즈명,DBAM,유사,0.60,미검증,jaccard score=0.60 freq=1
Passion더스트백(반투명M) (C타입) 키트,굿즈명,DBAM,유사,0.60,미검증,jaccard score=0.60 freq=1
Passion더스트백(반투명M) 키트,굿즈명,DBAM,유사,0.75,미검증,jaccard score=0.75 freq=35
Passion더스트백(반투명M)(피규어키링1)키트,굿즈명,DBAM,유사,0.60,미검증,jaccard score=0.60 freq=1
Passion더스트백(반투명M)(피규어키링2)키트,굿즈명,DBAM,유사,0.60,미검증,jaccard score=0.60 freq=1
Passion더스트백(반투명M)(피규어키링3)키트,굿즈명,DBAM,유사,0.60,미검증,jaccard score=0.60 freq=1
Passion더스트백(반투명M)+클리어리유저블,굿즈명,DBAM,유사,0.75,미검증,jaccard score=0.75 freq=1
Passion더스트백(반투명M)메시지캐리어파우치(메탈그레이),굿즈명,DBAM,유사,0.60,미검증,jaccard score=0.60 freq=1
Passion더스트백(반투명M)메시지캐리어파우치(실버),굿즈명,DBAM,유사,0.60,미검증,jaccard score=0.60 freq=1
Passion더스트백(반투명M)키트,굿즈명,DBAM,유사,0.75,미검증,jaccard score=0.75 freq=22
Passion더스트백(반투명M)키트100,굿즈명,DBAM,유사,0.75,미검증,jaccard score=0.75 freq=1
Passion더스트백(블랙)+아이콘 콜드컵,굿즈명,DBAG,유사,0.60,미검증,jaccard score=0.60 freq=1
Passion더스트백(블랙)키트,굿즈명,DBAG,유사,0.75,미검증,jaccard score=0.75 freq=1
Passion더스트백(블랙M 키트,굿즈명,DBAG,유사,0.75,미검증,jaccard score=0.75 freq=1
Passion더스트백(블랙M),굿즈명,DBAG,정확,1.00,확정,jaccard score=1.00 freq=9
Passion더스트백(블랙M) 벌크,굿즈명,DBAG,유사,0.75,미검증,jaccard score=0.75 freq=1
Passion더스트백(블랙M) 키트,굿즈명,DBAG,유사,0.75,미검증,jaccard score=0.75 freq=16
Passion더스트백(블랙M)150,굿즈명,DBAG,정확,1.00,확정,jaccard score=1.00 freq=1
Passion더스트백(블랙M)키트,굿즈명,DBAG,유사,0.75,미검증,jaccard score=0.75 freq=20
Passion더스트백1),굿즈명,DBAM,유사,0.67,미검증,jaccard score=0.67 freq=1
Quality 슬리브박스 키트,굿즈명,SLVR,유사,0.50,미검증,jaccard score=0.50 freq=19
Quality슬리브박스,굿즈명,SLVR,유사,0.67,미검증,jaccard score=0.67 freq=23
Quality슬리브박스  키트,굿즈명,SLVR,유사,0.50,미검증,jaccard score=0.50 freq=1
Quality슬리브박스 벌크,굿즈명,SLVR,유사,0.50,미검증,jaccard score=0.50 freq=2
Quality슬리브박스 슬리브,굿즈명,SLVR,유사,0.50,미검증,jaccard score=0.50 freq=1
Quality슬리브박스 재임가공,굿즈명,SLVR,유사,0.50,미검증,jaccard score=0.50 freq=1
Quality슬리브박스 키트,굿즈명,SLVR,유사,0.50,미검증,jaccard score=0.50 freq=133
Quality슬리브박스 키트 (전시2팀 AI파트),굿즈명,SLVR,유사,0.50,미검증,jaccard_norm score=0.50 freq=1
Quality슬리브박스 키트 (전시2팀 소싱파트),굿즈명,SLVR,유사,0.50,미검증,jaccard_norm score=0.50 freq=1
Quality슬리브박스 키트(올가닉 라벤더),굿즈명,SLVR,유사,0.50,미검증,jaccard_norm score=0.50 freq=2
Quality슬리브박스 키트100,굿즈명,SLVR,유사,0.50,미검증,jaccard score=0.50 freq=2
Quality슬리브박스(조립),굿즈명,SLVR,유사,0.50,미검증,jaccard score=0.50 freq=1
RAW 코튼 파우치 키트 (1) 8핀,굿즈명,RWCL,유사,0.60,미검증,jaccard score=0.60 freq=1
RAW 코튼 파우치 키트 (1) C타입,굿즈명,RWCL,유사,0.50,미검증,jaccard score=0.50 freq=1
RAW 코튼 파우치 키트 (2),굿즈명,RWCL,유사,0.60,미검증,jaccard score=0.60 freq=1
RE:CUP(리컵)_12oz,굿즈명,RECP,정확,1.00,확정,name2code score=1.00 freq=14
RE:CUP(리컵)_16oz,굿즈명,RECP,정확,1.00,확정,name2code score=1.00 freq=7
Raw 코튼 파우치,굿즈명,RWCL,정확,1.00,확정,name2code score=1.00 freq=1
Raw 코튼 파우치 키트,굿즈명,RWCL,유사,0.60,미검증,jaccard score=0.60 freq=2
Reinvent 슬리브박스 키트,굿즈명,RIVT,유사,0.67,미검증,jaccard score=0.67 freq=1
Reinvent슬리브박스,굿즈명,RIVT,정확,1.00,확정,jaccard score=1.00 freq=2
Reinvent슬리브박스 (벌크),굿즈명,RIVT,유사,0.67,미검증,jaccard score=0.67 freq=1
Reinvent슬리브박스 (키트 조립),굿즈명,RIVT,유사,0.50,미검증,jaccard score=0.50 freq=1
Reinvent슬리브박스 LS,굿즈명,RIVT,유사,0.67,미검증,jaccard score=0.67 freq=1
Reinvent슬리브박스 키트,굿즈명,RIVT,유사,0.67,미검증,jaccard score=0.67 freq=18
Simple 슬라이드 지퍼백,굿즈명,SLZB,정확,1.00,확정,jaccard score=1.00 freq=5
Simple 슬라이드 지퍼백 (M) 키트,굿즈명,SLZB,유사,0.75,미검증,jaccard score=0.75 freq=1
Simple 슬라이드 지퍼백 키트,굿즈명,SLZB,유사,0.75,미검증,jaccard score=0.75 freq=9
Simple슬라이드지퍼백(L),굿즈명,SLZL,정확,1.00,확정,jaccard score=1.00 freq=1
Simple슬라이드지퍼백(M),굿즈명,SLZB,정확,1.00,확정,jaccard score=1.00 freq=32
Simple슬라이드지퍼백(S),굿즈명,SLZS,정확,1.00,확정,jaccard score=1.00 freq=9
Solid 스탠다드 G형박스,굿즈명,SOLD,유사,0.40,미검증,jaccard score=0.40 freq=4 ambiguous-name:SCGB|SOLD
Solid 커스텀 G형박스,굿즈명,SOLD,유사,0.75,미검증,jaccard score=0.75 freq=1 ambiguous-name:SCGB|SOLD
Solid 커스텀 G형박스 키트,굿즈명,SOLD,유사,0.60,미검증,jaccard score=0.60 freq=5 ambiguous-name:SCGB|SOLD
Solid스탠다드G형박스(L사이즈),굿즈명,SOLC,정확,1.00,확정,jaccard score=1.00 freq=25
Solid스탠다드G형박스(L사이즈) 키트,굿즈명,SOLD,유사,0.50,미검증,jaccard score=0.50 freq=46 ambiguous-name:SCGB|SOLD
Solid스탠다드G형박스(L사이즈) 키트 [인쇄 X],굿즈명,SOLD,유사,0.43,미검증,jaccard score=0.43 freq=1 ambiguous-name:SCGB|SOLD
Solid스탠다드G형박스(L사이즈) 키트60,굿즈명,SOLD,유사,0.50,미검증,jaccard score=0.50 freq=1 ambiguous-name:SCGB|SOLD
Solid스탠다드G형박스(L사이즈)100,굿즈명,SOLD,유사,0.60,미검증,jaccard score=0.60 freq=1 ambiguous-name:SCGB|SOLD
Solid스탠다드G형박스(L사이즈)150,굿즈명,SOLD,유사,0.60,미검증,jaccard score=0.60 freq=1 ambiguous-name:SCGB|SOLD
Solid스탠다드G형박스(L사이즈)블랙,굿즈명,SOLD,유사,0.50,미검증,jaccard score=0.50 freq=1 ambiguous-name:SCGB|SOLD
Solid스탠다드G형박스(L사이즈)키트,굿즈명,SOLD,유사,0.50,미검증,jaccard score=0.50 freq=38 ambiguous-name:SCGB|SOLD
Solid스탠다드G형박스(L사이즈)화이트,굿즈명,SOLD,유사,0.50,미검증,jaccard score=0.50 freq=1 ambiguous-name:SCGB|SOLD
Solid스탠다드G형박스(L사이즈_벌크),굿즈명,SOLD,유사,0.40,미검증,jaccard_norm score=0.40 freq=1 ambiguous-name:SCGB|SOLD
Solid스탠다드G형박스(M사이즈),굿즈명,SOLB,정확,1.00,확정,jaccard score=1.00 freq=2
Solid스탠다드G형박스(M사이즈) 키트,굿즈명,SOLD,유사,0.50,미검증,jaccard score=0.50 freq=7 ambiguous-name:SCGB|SOLD
Solid스탠다드G형박스(M사이즈)키트,굿즈명,SOLD,유사,0.50,미검증,jaccard score=0.50 freq=6 ambiguous-name:SCGB|SOLD
Solid스탠다드G형박스(S사이즈),굿즈명,SOLA,정확,1.00,확정,jaccard score=1.00 freq=2
Solid스탠다드G형박스(S사이즈) 키트,굿즈명,SOLD,유사,0.50,미검증,jaccard score=0.50 freq=5 ambiguous-name:SCGB|SOLD
Solid스탠다드G형박스(S사이즈)키트,굿즈명,SOLD,유사,0.50,미검증,jaccard score=0.50 freq=23 ambiguous-name:SCGB|SOLD
Solid스탠다드G형박스(브랜디드타월2개입),굿즈명,SOLD,유사,0.40,미검증,jaccard_norm score=0.40 freq=3 ambiguous-name:SCGB|SOLD
Solid스탠다드G형박스100,굿즈명,SOLD,유사,0.40,미검증,jaccard score=0.40 freq=1 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스,굿즈명,SOLD,유사,0.75,미검증,jaccard score=0.75 freq=7 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스 (키트),굿즈명,SOLD,유사,0.60,미검증,jaccard score=0.60 freq=1 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스 키트,굿즈명,SOLD,유사,0.60,미검증,jaccard score=0.60 freq=5 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(L사이즈,굿즈명,SOLD,정확,1.00,미검증,jaccard score=1.00 freq=2 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(L사이즈),굿즈명,SCGL,정확,1.00,미검증,jaccard score=1.00 freq=18 ambiguous-name:SCGL|SOLL
Solid커스텀G형박스(L사이즈) (뉴오피스키트),굿즈명,SOLD,유사,0.80,미검증,jaccard score=0.80 freq=1 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(L사이즈) (벌크),굿즈명,SOLD,유사,0.80,미검증,jaccard score=0.80 freq=1 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(L사이즈) + 스티커,굿즈명,SOLD,유사,0.80,미검증,jaccard score=0.80 freq=1 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(L사이즈) 띠지 + 양면테이프,굿즈명,SOLD,유사,0.67,미검증,jaccard score=0.67 freq=2 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(L사이즈) 띠지+양면테이프,굿즈명,SOLD,유사,0.67,미검증,jaccard score=0.67 freq=1 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(L사이즈) 벌크,굿즈명,SOLD,유사,0.80,미검증,jaccard score=0.80 freq=3 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(L사이즈) 웰컴페이퍼,굿즈명,SOLD,유사,0.80,미검증,jaccard score=0.80 freq=3 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(L사이즈) 키트,굿즈명,SOLD,유사,0.80,미검증,jaccard score=0.80 freq=52 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(L사이즈) 키트 47+여분수량,굿즈명,SOLD,유사,0.67,미검증,jaccard score=0.67 freq=1 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(L사이즈)(웰컴키트),굿즈명,SOLD,유사,0.80,미검증,jaccard score=0.80 freq=1 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(L사이즈)키트,굿즈명,SOLD,유사,0.80,미검증,jaccard score=0.80 freq=66 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(L사이즈)키트 45+여유수량,굿즈명,SOLD,유사,0.67,미검증,jaccard score=0.67 freq=1 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(L사이즈)키트(레더스킨_그레이),굿즈명,SOLD,유사,0.67,미검증,jaccard score=0.67 freq=1 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(L사이즈)키트(레더스킨_블랙),굿즈명,SOLD,유사,0.67,미검증,jaccard score=0.67 freq=1 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(M사이즈),굿즈명,SOLM,정확,1.00,미검증,jaccard score=1.00 freq=5 ambiguous-name:SCGM|SOLM
Solid커스텀G형박스(M사이즈) 키트,굿즈명,SOLD,유사,0.80,미검증,jaccard score=0.80 freq=13 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(M사이즈)키트,굿즈명,SOLD,유사,0.80,미검증,jaccard score=0.80 freq=6 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(M사이즈)키트 100+,굿즈명,SOLD,유사,0.80,미검증,jaccard score=0.80 freq=1 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(M사이즈)키트[일본어],굿즈명,SOLD,유사,0.80,미검증,jaccard score=0.80 freq=1 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(M사이즈)키트[한국어],굿즈명,SOLD,유사,0.80,미검증,jaccard score=0.80 freq=1 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(S사이즈,굿즈명,SOLD,정확,1.00,미검증,jaccard score=1.00 freq=1 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(S사이즈),굿즈명,SOLD,정확,1.00,미검증,jaccard score=1.00 freq=9 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(S사이즈) 벌크,굿즈명,SOLD,유사,0.80,미검증,jaccard score=0.80 freq=1 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(S사이즈) 웰커페이퍼,굿즈명,SOLD,유사,0.80,미검증,jaccard score=0.80 freq=1 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(S사이즈) 재포장,굿즈명,SOLD,유사,0.80,미검증,jaccard score=0.80 freq=1 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(S사이즈) 키트,굿즈명,SOLD,유사,0.80,미검증,jaccard score=0.80 freq=18 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(S사이즈) 키트 (일문버전),굿즈명,SOLD,유사,0.67,미검증,jaccard score=0.67 freq=1 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(S사이즈) 키트200,굿즈명,SOLD,유사,0.80,미검증,jaccard score=0.80 freq=1 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(S사이즈)키,굿즈명,SOLD,정확,1.00,미검증,jaccard score=1.00 freq=1 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(S사이즈)키트,굿즈명,SOLD,유사,0.80,미검증,jaccard score=0.80 freq=32 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(S사이즈)키트 90(c타입),굿즈명,SOLD,유사,0.67,미검증,jaccard score=0.67 freq=1 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(S사이즈)키트[영문버전],굿즈명,SOLD,유사,0.80,미검증,jaccard score=0.80 freq=2 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(S사이즈키트,굿즈명,SOLD,유사,0.60,미검증,jaccard score=0.60 freq=1 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(Vip) 키트,굿즈명,SOLD,유사,0.50,미검증,jaccard score=0.50 freq=2 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(XL)Enter,굿즈명,SOLD,유사,0.60,미검증,jaccard score=0.60 freq=1 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(XL)sports100,굿즈명,SOLD,유사,0.60,미검증,jaccard score=0.60 freq=1 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(ver1.레더스킨,굿즈명,SOLD,유사,0.60,미검증,jaccard score=0.60 freq=1 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(ver2.),굿즈명,SOLD,유사,0.60,미검증,jaccard score=0.60 freq=1 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(기본) 키트,굿즈명,SOLD,유사,0.50,미검증,jaccard score=0.50 freq=2 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(커스텀사이즈) 키트,굿즈명,SOLD,유사,0.50,미검증,jaccard score=0.50 freq=2 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스(커스텀사이즈)키트,굿즈명,SOLD,유사,0.50,미검증,jaccard score=0.50 freq=2 ambiguous-name:SCGB|SOLD
Solid커스텀G형박스키트(L사이즈),굿즈명,SOLD,유사,0.60,미검증,jaccard score=0.60 freq=2 ambiguous-name:SCGB|SOLD
Start틴케이스,굿즈명,TNCS,정확,1.00,확정,jaccard score=1.00 freq=1
Start틴케이스 100(여분),굿즈명,TNCS,유사,0.67,미검증,jaccard score=0.67 freq=1
Start틴케이스 키트,굿즈명,TNCS,유사,0.67,미검증,jaccard score=0.67 freq=27
Start틴케이스 키트200,굿즈명,TNCS,유사,0.67,미검증,jaccard score=0.67 freq=1
Stationery  페이퍼박스 키트,굿즈명,STBX,유사,0.67,미검증,jaccard score=0.67 freq=1
Stationery 페이퍼박스 키트,굿즈명,STBX,유사,0.67,미검증,jaccard score=0.67 freq=1
Stationery페이퍼박스,굿즈명,STBX,정확,1.00,확정,jaccard score=1.00 freq=4
Stationery페이퍼박스  100(박스샘플포함),굿즈명,STBX,유사,0.67,미검증,jaccard score=0.67 freq=1
Stationery페이퍼박스 (벌크),굿즈명,STBX,유사,0.67,미검증,jaccard score=0.67 freq=1
Stationery페이퍼박스 (벌크전달),굿즈명,STBX,유사,0.67,미검증,jaccard score=0.67 freq=1
Stationery페이퍼박스 [성수],굿즈명,STBX,유사,0.67,미검증,jaccard score=0.67 freq=1
